Dino Number,Image,Classification,Level,Breeding Charges,Trait Count,Background,Body,Face,Headwear,Eyes,Clothes,Accessory
70,https://img.dapperdinos.com/dinos/tS4yc74o2EZMMBj.png,OG,5,5,6,Spiffy Blue,Green,Derpy,High Top Fade Halo,Mask Chill,Flannel,<none>
71,https://img.dapperdinos.com/dinos/JTYG1EmsqUED22K.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Sombrero,Hearts,Labcoat,<none>
72,https://img.dapperdinos.com/karmacollective/K27.png,Karma,5,6,8,Rich Tu Yellow,Grey,Tongue,Crown,Mask Hearts,Polo Tiger,Nosehorn
73,https://img.dapperdinos.com/dinos/ED0U6swPAAKvPb1.png,OG,5,5,6,Crisp Green,Blue Spotted,Grin,Short Hair Blonde,Allergies,Polo Teal,<none>
74,https://img.dapperdinos.com/dinos/xWdg8V1b5K3iikK.png,OG,5,5,6,Dapper Cyan,Blue Spotted,Happy,Horns Broken,Allergies,Tshirt Camo,<none>
75,https://img.dapperdinos.com/dinos/W9ERgcEArs6OH2J.png,OG,5,5,7,Fly Magenta,Green Spotted,Unimpressed,Pirate Hat,Happy,Rosies Denim,Nosehorn Gold
76,https://img.dapperdinos.com/dinos/HYZKfiE7CxOYWt2.png,OG,5,5,5,Crisp Green,Bubblegum,Happy,Chefs Hat,Bliss Lashes,<none>,<none>
77,https://img.dapperdinos.com/dinos/b40MfaA59lrjDBt.png,OG,5,5,6,Spiffy Blue,Green,Toothy Smile,Dino Helmet Bonehead,Hearts,Spiked Jacket,<none>
78,https://img.dapperdinos.com/dinos/0daxt96HAyJBu4G.png,OG,5,5,6,Crisp Green,Green,Derpy,Grey Hair Sweep,Mask Hypno,Pepe Jacket Tshirt,<none>
79,https://img.dapperdinos.com/dinos/6UBi9smViMVVwRQ.png,OG,5,5,6,Crisp Green,Yellow Spotted,Toothy Smile,Dino Helmet,Laser,Tshirt Camo,<none>
80,https://img.dapperdinos.com/dinos/X9RXFXBpRsfVSVa.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Horns,Cyclops Lashes,Cyberpunk Jacket Tshirt,<none>
81,https://img.dapperdinos.com/dinos/e3aBSesycqqzHfD.png,OG,5,5,6,Crisp Green,Green Spotted,Unimpressed,Mech,Chill,Tshirt Stripe,<none>
82,https://img.dapperdinos.com/dinos/CtPvLUwjFzpgPjp.png,OG,5,5,6,Spiffy Blue,Yellow,Happy,Chefs Hat Bonehead,Mask Happy,<none>,Monocle
83,https://img.dapperdinos.com/dinos/nDSw2sFv8vlxg5E.png,OG,5,5,6,Dashing Purple,Teal Spotted,Toothy Smile Beard,<none>,Hollow,Flannel,Monocle
84,https://img.dapperdinos.com/dinos/GUfaDGwAXYRq01k.png,OG,5,5,6,Dapper Cyan,Blue,Happy,High Top Fade,Mask Happy,Suit Dapper Blue,<none>
85,https://img.dapperdinos.com/karmacollective/K335.png,Karma,5,6,7,Rich Tu Green,Yellow,Derpy,Fedora,Popped Hearts,Varsity Jacket,<none>
86,https://img.dapperdinos.com/dinos/vfM1USHwH9aLaPn.png,OG,5,5,6,Nifty Yellow,Charcoal,Two Tooth,Halo Shiny,Cyclops Lashes,Tshirt Black,<none>
87,https://img.dapperdinos.com/dinos/AISmtIjtEQ2eQU7.png,OG,5,5,7,Fly Magenta,Yellow,Toothy Smile,Bonehead Silver,Happy,Grandmas Sweater,Sunglasses White
88,https://img.dapperdinos.com/dinos/tmlngDA8F7UorQ2.png,OG,5,5,7,Elegant Red,Yellow Spotted,Unimpressed,King Bonehead,Cyclops Lashes,Tshirt Trex White,Wheat
89,https://img.dapperdinos.com/dinos/P37JqurSJ3jO2Dv.png,OG,5,5,6,Dapper Cyan,Green,Derpy,Brain,Happy Lashes,Scarf,<none>
90,https://img.dapperdinos.com/dinos/hjf0RPWriNg5Ymh.png,OG,5,5,6,Dapper Cyan,Blue,Two Tooth,Donut Horns,Happy Lashes,Flannel,<none>
91,https://img.dapperdinos.com/dinos/xVKR7VMq8zyl3NJ.png,OG,5,5,7,Nifty Yellow,Charcoal,Tongue,Short Hair Brown,Chill,Polo Pink,Sunglasses
92,https://img.dapperdinos.com/dinos/W53epjaRBYgZ3Oi.png,OG,5,5,7,Nifty Yellow,Blue Spotted,Happy,Motorcycle Helmet,Happy Lashes,Hoodie Grey,Eyepatch
93,https://img.dapperdinos.com/dinos/hakhpWfBTfuMop6.png,OG,5,5,5,Dapper Cyan,Charcoal Spotted,Happy,Chefs Hat Bonehead,Happy,<none>,<none>
94,https://img.dapperdinos.com/dinos/5SXl8dUZzCpByS8.png,OG,5,5,6,Dapper Cyan,Grey Spotted,Happy,Chefs Hat Bonehead,Chill,Tshirt Stripe,<none>
95,https://img.dapperdinos.com/dinos/t3nyHt7zR5jFky6.png,OG,5,5,5,Dapper Cyan,Yellow,Happy,Rosies Red Bandana,Bliss,<none>,<none>
96,https://img.dapperdinos.com/dinos/X56101xUNq3ENAu.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Cycling Cap,Mask Chill,Pepe Jacket,Nosehorn
97,https://img.dapperdinos.com/dinos/PWJtA7MNz1TCLIH.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Fro Sparkle,Hearts,Polo Tiger,<none>
98,https://img.dapperdinos.com/dinos/BEFX4TdlOd1G297.png,OG,5,5,6,Elegant Red,Grey,Happy Beard,Cowboy Hat,Hollow,Pepe Jacket Tshirt,<none>
99,https://img.dapperdinos.com/dinos/pHG2DJYQXxrtDDo.png,OG,5,5,7,Crisp Green,Yellow,Derpy,Dino Helmet Bonehead,Hypno,Crew Neck Purple,Pearls
100,https://img.dapperdinos.com/dinos/gb1mRFMvqwGzrzs.png,OG,5,5,6,Spiffy Blue,Green,Tongue,Bonehead,Chill Lashes,Pirate,<none>
101,https://img.dapperdinos.com/dinos/7Og2jHU6HnUcWmx.png,OG,5,5,7,Snazzy Orange,Blue,Two Tooth,Horns,Hypno,Polo Teal,Nosehorn Gold
102,https://img.dapperdinos.com/dinos/6ddKej7xgbISQQY.png,OG,5,5,6,Spiffy Blue,Teal,Tongue,Donut Bonehead,Happy Lashes,Basketball Jersey,<none>
103,https://img.dapperdinos.com/dinos/x80xo9m4jJfTsJN.png,OG,5,5,7,Crisp Green,Blue Spotted,Happy,Pirate Hat,Chill,Polo Pink,Nosehorn
104,https://img.dapperdinos.com/dinos/0rbCgWeiF0OzR9x.png,OG,5,5,7,Elegant Red,Teal Spotted,Unimpressed,Donut Horns,Mask Hearts,Varsity Jacket,Pipe
105,https://img.dapperdinos.com/karmacollective/K483.png,Karma,5,6,7,Bakeroner Green 1,Green,Two Tooth,High Top Fade,Happy,Polo Teal,<none>
106,https://img.dapperdinos.com/dinos/Z2tqvBudnbj4IAN.png,OG,5,5,6,Snazzy Orange,Bubblegum,Happy,Tophat Bonehead,Bliss Lashes,Pirate,<none>
107,https://img.dapperdinos.com/dinos/h8Jf4WXyoVHfGx1.png,OG,5,5,7,Snazzy Orange,Yellow Spotted,Tongue,Chefs Hat,Chill Lashes,Suspenders,Nosehorn
108,https://img.dapperdinos.com/dinos/poy9Fm6VykxbWF9.png,OG,5,5,7,Dapper Cyan,Blue,Happy,Stars,Happy,Crew Neck Pink,Pearls
109,https://img.dapperdinos.com/dinos/iuaPEAvF1i6vLwp.png,OG,5,5,7,Snazzy Orange,Blue Spotted,Tongue,Captain,Hearts,Varsity Jacket,Nosehorn
110,https://img.dapperdinos.com/dinos/fpB0GmnUQJWDCsN.png,OG,5,5,7,Elegant Red,Blue Spotted,Toothy Smile,High Top Fade Stars,Hearts,Hoodie Grey,Sunglasses White
111,https://img.dapperdinos.com/dinos/CCbxROxLPxrZfPn.png,OG,5,5,6,Crisp Green,Teal,Derpy,Tophat Bonehead,Cyclops Lashes,Suit Navy,<none>
112,https://img.dapperdinos.com/dinos/g2Z8M4Y73rEeIXH.png,OG,5,5,7,Dashing Purple,Grey Spotted,Two Tooth,Long Hair Brown,Mask Dead,Rosies Denim,Monocle
113,https://img.dapperdinos.com/dinos/iLcGQ0Cz1Xf4m51.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Wizard Hat,Hypno,Polo Teal,<none>
114,https://img.dapperdinos.com/dinos/QkxB3QZWbZdTF33.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Chefs Hat,Happy Lashes,Tshirt Black,3D Glasses
115,https://img.dapperdinos.com/dinos/zavexL35smCbSAS.png,OG,5,5,6,Spiffy Blue,Green,Two Tooth,High Top Fade,Popped Hearts,Tiedye,<none>
116,https://img.dapperdinos.com/dinos/hago9yoOSkmbsFK.png,OG,5,5,6,Spiffy Blue,Green Spotted,Two Tooth,Grey Hair Sweep,Happy,Polo Pink,<none>
117,https://img.dapperdinos.com/dinos/0WifsqJ3W62J6MB.png,OG,5,5,7,Fly Magenta,Grey Spotted,Two Tooth Beard,Cowboy Hat,Mask Happy,Varsity Jacket,Nosehorn
118,https://img.dapperdinos.com/dinos/gRxNyYiYhlM58eZ.png,OG,5,5,6,Spiffy Blue,Yellow,Toothy Smile,High Top Fade Halo,Happy Lashes,Suit Dapper Grey,<none>
119,https://img.dapperdinos.com/dinos/pHtQh6npAOdxtqA.png,OG,5,5,6,Spiffy Blue,Teal,Happy,Chefs Hat Bonehead,Mask Happy,Rosies Denim,<none>
120,https://img.dapperdinos.com/dinos/jUF9Mp2w5psXPcv.png,OG,5,5,6,Dapper Cyan,Blue,Tongue,Cap Camo,Happy,Suit Dapper Grey,<none>
121,https://img.dapperdinos.com/dinos/q7uBwVPbYdltqwc.png,OG,5,5,6,Spiffy Blue,Blue,Tongue,<none>,Happy,Polo Tiger,3D Glasses
122,https://img.dapperdinos.com/dinos/vr5qqvB72hcbzTn.png,OG,5,5,6,Crisp Green,Teal Spotted,Toothy Smile,Horns,Chill,Suit Navy,<none>
123,https://img.dapperdinos.com/dinos/S2kpXzGNOKkQPfX.png,OG,5,5,7,Fly Magenta,Yellow Spotted,Unimpressed,King,Blush,Suit Navy,Eyepatch
124,https://img.dapperdinos.com/karmacollective/K525.png,Karma,5,6,7,Rich Tu Purple,Charcoal Spotted,Two Tooth,Chefs Hat Bonehead,Mask Hearts,Suit Dapper Blue,<none>
125,https://img.dapperdinos.com/dinos/y0Fzz5BPFjhMJ3j.png,OG,5,5,6,Dapper Cyan,Blue,Toothy Smile,Fedora,Chill,Ascot,<none>
126,https://img.dapperdinos.com/dinos/xKonhJPjdqjdnQZ.png,OG,5,5,7,Elegant Red,Blue,Unimpressed,Cycling Cap,Happy,Polo Teal,Chain
127,https://img.dapperdinos.com/dinos/NFemV4LCxbowqEB.png,OG,5,5,7,Fly Magenta,Blue,Unimpressed,Cowboy Hat,Hearts,Crew Neck Pink,Eyepatch
128,https://img.dapperdinos.com/dinos/9M74lknsQoxeXr7.png,OG,5,5,7,Nifty Yellow,Green,Tongue,Chefs Hat Bonehead,Bliss Lashes,Tshirt Camo,3D Glasses
129,https://img.dapperdinos.com/dinos/WOBYR8vJh0Eax3Q.png,OG,5,5,6,Crisp Green,Charcoal,Grin,King Bonehead,Mask Hearts,Suit Dapper Blue,<none>
130,https://img.dapperdinos.com/dinos/xHi8zqYNYd9lLwA.png,OG,5,5,7,Snazzy Orange,Yellow,Tongue,Cowboy Hat,Blush,Crew Neck Pink,Sunglasses White
131,https://img.dapperdinos.com/dinos/9VhZsucqL85cOFW.png,OG,5,5,7,Elegant Red,Green,Happy,Spikes Gold,Mask Hearts,Pepe Jacket Tshirt,Nosehorn Gold
132,https://img.dapperdinos.com/dinos/O5i6ZddH6OqQCiO.png,OG,5,5,6,Nifty Yellow,Yellow,Grin,Dino Helmet Bonehead,Hypno,Cyberpunk Jacket,<none>
133,https://img.dapperdinos.com/dinos/WRpotF22md13ZON.png,OG,5,5,6,Crisp Green,Blue,Tongue,<none>,Chill,Pirate,Nosehorn
134,https://img.dapperdinos.com/dinos/TblOnSsFoLkrfXK.png,OG,5,5,7,Fly Magenta,Lava,Derpy,Donut Horns,Happy,Suit Grey,Sunglasses White
135,https://img.dapperdinos.com/dinos/1GS464cZBeccSWE.png,OG,5,5,7,Nifty Yellow,Green,Unimpressed,Wizard Hat,Hypno,Turtleneck,Pipe
136,https://img.dapperdinos.com/dinos/InIABuXoMDXaYgT.png,OG,5,5,7,Nifty Yellow,Green,Two Tooth,Bowler Black Emblem,Mask Happy,Suit Grey,Nosehorn
137,https://img.dapperdinos.com/dinos/isYvzNH5xLd0IjB.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Horns,Chill,Tshirt Black,<none>
138,https://img.dapperdinos.com/dinos/gVAlbC0ygkYq73h.png,OG,5,5,7,Crisp Green,Blue,Unimpressed,Bucket Hat,Happy Lashes,Turtleneck,Wheat
139,https://img.dapperdinos.com/dinos/5LIQkG4yHl3n5je.png,OG,5,5,7,Nifty Yellow,Charcoal,Two Tooth,Bowler Black Emblem,Happy,Basketball Jersey,3D Glasses
140,https://img.dapperdinos.com/dinos/HqfMzwDUuAeG7B4.png,OG,5,5,6,Dapper Cyan,Charcoal Spotted,Happy,British,Happy Lashes,Tracksuit Spotted,<none>
141,https://img.dapperdinos.com/dinos/9i1uVpuKVifulEP.png,OG,5,5,6,Crisp Green,Blue,Two Tooth,Bucket Hat,Bliss,Astronaut,<none>
142,https://img.dapperdinos.com/dinos/cU24trfe4Q0x83r.png,OG,5,5,6,Crisp Green,Blue,Unimpressed,Rosies Red Bandana,Cyclops,Scarf,<none>
143,https://img.dapperdinos.com/dinos/94KZEEcvksLCd9I.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,High Top Fade,Allergies,Suit Dapper Grey,<none>
144,https://img.dapperdinos.com/dinos/wDc6QwHf3wIpcQI.png,OG,5,5,6,Nifty Yellow,Teal Spotted,Two Tooth,King Bonehead,Hypno,Pepe Jacket Tshirt,<none>
145,https://img.dapperdinos.com/dinos/xc3ZyGftv561mjm.png,OG,5,5,6,Dapper Cyan,Green Spotted,Tongue,Fro,Happy,Tracksuit Spotted,<none>
146,https://img.dapperdinos.com/dinos/pAMMMurHJ2jHe8P.png,OG,5,5,7,Snazzy Orange,Grey,Toothy Smile,Chefs Hat Bonehead,Happy Lashes,Chef,Nosehorn Gold
147,https://img.dapperdinos.com/dinos/rNanYA3UYv2JjfJ.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Long Hair Red,Cyclops Lashes,Suit Grey,<none>
148,https://img.dapperdinos.com/dinos/DqYVQBckzkOmO1G.png,OG,5,5,6,Crisp Green,Grey,Happy,Chefs Hat,Mask Hearts,Tshirt Camo,<none>
149,https://img.dapperdinos.com/dinos/3c3OWUn6EEMS0CJ.png,OG,5,5,6,Spiffy Blue,Blue Spotted,Happy,Bonehead,Allergies,Flannel,<none>
150,https://img.dapperdinos.com/dinos/FiIGL95zHUY4Kbb.png,OG,5,5,7,Snazzy Orange,Green Spotted,Two Tooth,Dino Grabber,Cyclops,Crew Neck Pink,Pearls
151,https://img.dapperdinos.com/dinos/gQNmpPeZ5al4V1a.png,OG,5,5,6,Crisp Green,Yellow,Unimpressed,British,Allergies,Varsity Jacket,<none>
152,https://img.dapperdinos.com/dinos/YcKYKpIIvrEi6mz.png,OG,5,5,7,Nifty Yellow,Blue,Happy,Rosies Red Bandana,Mask Chill,Grandmas Sweater,3D Glasses
