Dino Number,Shield,Strength,Health,Attack,Speed,Brain
375,59,58,48,61,60,46
376,54,44,55,67,56,57
377,48,52,53,61,52,46
378,50,48,74,63,54,59
379,59,56,72,65,68,68
380,69,59,78,53,56,49
381,53,67,51,65,57,41
382,62,55,46,59,50,60
383,47,60,53,66,53,52
384,57,48,72,61,63,54
385,39,74,46,64,52,52
386,59,58,48,65,59,49
387,59,50,46,56,56,42
388,49,72,62,71,80,82
389,51,51,58,56,65,65
390,56,52,48,55,60,55
391,60,48,61,70,52,42
392,72,49,60,62,49,63
393,56,75,76,59,49,50
394,63,58,68,57,63,60
395,49,77,51,58,60,49
396,51,51,56,59,50,62
397,55,62,53,75,48,59
398,59,42,62,53,69,45
399,73,61,60,64,50,60
400,67,55,54,47,57,43
401,54,53,49,59,65,46
402,53,58,74,68,56,44
403,58,51,63,70,68,60
404,62,46,52,75,52,51
405,51,60,50,69,61,59
406,51,51,56,59,50,62
407,53,62,66,72,60,45
408,58,55,48,49,47,58
409,60,63,67,65,64,39
410,61,67,68,62,45,57
411,54,64,82,53,49,58
412,60,53,77,57,54,41
413,57,63,77,64,56,50
414,64,48,59,70,61,44
415,57,53,74,56,52,58
416,51,66,57,57,51,63
417,67,53,81,46,50,63
418,57,55,47,49,56,46
419,50,43,49,47,50,47
420,55,53,52,54,65,51
421,51,49,52,60,68,51
422,55,68,73,57,47,49
423,56,50,55,55,59,55
424,52,65,60,53,66,59
425,58,54,59,47,45,65
426,51,48,54,59,56,46
427,57,47,85,67,48,55
428,57,62,47,51,51,47
429,48,61,53,68,59,63
430,52,49,74,73,53,42
431,51,44,78,63,58,46
432,52,62,85,61,58,49
433,56,55,53,57,67,62
434,55,73,79,51,60,50
435,53,43,54,69,66,54
436,63,53,46,59,50,44
437,60,58,51,56,63,46
438,55,45,50,56,55,58
439,50,55,63,67,60,48
440,62,49,57,54,59,47
441,73,48,52,61,57,63
442,49,54,54,63,50,57
443,51,47,56,53,60,49
444,50,73,44,61,61,44
445,64,52,57,58,49,42
446,54,64,51,62,48,54
447,50,64,53,64,46,62
448,55,45,48,62,55,44
449,63,54,55,58,59,60
450,58,57,48,51,50,57
451,55,62,76,47,49,47
452,51,44,47,55,55,45
453,59,63,59,54,49,56
454,54,49,76,67,50,53
455,56,71,59,71,49,57
456,66,58,74,56,48,44
457,65,47,74,60,50,55
458,54,54,49,70,48,56
459,49,74,77,63,51,58
460,73,53,46,63,53,44
461,59,55,57,61,61,57
462,51,75,73,61,50,69
463,61,57,59,50,51,59
464,56,46,59,70,52,48
465,56,52,48,55,60,55
466,57,63,54,58,46,62
467,54,64,82,53,49,58
468,53,53,66,58,58,62
469,53,49,82,51,66,56
470,45,46,56,65,49,59
471,71,58,67,53,49,59
472,51,51,58,56,65,65
473,57,58,79,52,56,45
474,56,75,76,59,49,50
475,62,45,79,63,61,58
476,64,40,81,58,48,62
477,66,63,75,55,61,51
478,54,43,56,60,54,46
479,74,47,66,68,53,58
480,60,57,51,55,56,42
481,62,47,80,54,47,42
482,56,63,49,58,45,44
483,52,46,79,63,48,60
484,63,49,54,51,52,56
485,56,49,57,63,62,52
486,58,43,49,52,66,62
487,64,50,52,57,49,43
488,51,74,53,68,47,63
489,52,56,50,70,44,59
490,57,58,50,58,53,43
491,55,51,49,62,55,51
492,66,58,74,56,48,44
493,69,60,64,66,58,61
494,56,44,63,59,56,64
495,68,51,66,66,51,74
496,61,59,50,59,55,59
497,47,58,69,67,49,76
498,56,52,64,61,66,58
499,56,52,50,62,52,56
500,56,60,78,48,61,49
501,46,40,66,74,48,59
502,59,65,59,62,61,44
503,51,63,50,61,60,58
504,61,53,51,53,49,56
505,53,64,64,54,67,61
506,59,48,47,56,43,54
507,71,58,66,62,63,61
508,49,49,49,65,45,45
509,59,43,49,58,48,61
510,55,67,59,49,51,79
511,65,39,50,60,53,44
512,81,45,54,57,49,65
513,57,59,56,58,71,58
514,67,56,59,59,57,60
515,58,61,54,55,54,75
516,60,57,72,66,59,43
517,51,66,47,61,47,48
518,65,58,69,52,66,58
519,57,48,70,51,49,48
520,44,59,51,64,44,44
521,52,53,57,80,50,39
522,54,78,59,59,49,54
523,52,62,85,61,58,49
524,50,58,45,61,55,51
525,62,62,51,61,56,43
526,53,55,56,50,48,60
527,49,67,76,63,46,49
528,74,49,53,65,51,55
529,56,48,77,60,64,55
530,60,52,51,53,66,50
531,60,46,55,71,59,64
532,69,49,74,55,60,64
533,57,65,55,55,49,56
534,63,66,53,56,46,62
535,58,63,59,63,45,60
536,50,54,83,61,44,47
537,65,59,81,54,51,50
538,62,56,50,69,45,65
539,51,52,47,64,58,62
540,58,65,47,57,50,62
541,45,71,43,59,60,49
542,56,47,51,62,49,52
543,62,54,64,65,62,41
544,56,47,51,62,49,52
545,61,41,62,64,61,40
546,58,55,67,59,71,62
547,56,43,82,60,63,56
548,55,57,52,61,49,58
549,57,64,54,62,49,58
550,58,51,58,58,54,40
551,48,49,52,74,50,62
552,51,64,54,51,67,53
553,50,54,78,61,62,58
554,55,83,75,57,56,45
555,51,63,53,59,46,50
556,53,54,52,67,50,52
557,55,51,50,47,61,58
558,53,44,61,60,62,59
559,60,41,50,58,53,59
560,62,59,54,59,46,43
561,55,61,68,66,67,46
562,63,56,47,59,49,64
563,54,43,48,55,51,59
564,57,48,51,64,64,58
565,52,55,49,62,58,44
566,57,68,49,56,61,42
567,48,47,54,63,70,58
568,64,55,46,62,52,49
569,54,59,67,67,51,64
570,73,53,60,66,62,49
571,61,44,52,69,53,63
572,63,54,60,53,50,40
573,55,59,67,80,48,59
574,68,57,60,63,60,55
575,56,57,48,60,53,60
576,55,58,56,69,51,45
577,80,63,54,61,56,40
578,70,46,58,63,48,46
579,53,64,63,59,53,56
580,47,55,53,55,50,42
581,63,49,53,61,65,59
582,56,43,56,61,64,44
583,60,58,60,74,48,61
584,54,61,48,64,57,40
585,50,45,57,58,68,49
586,81,45,54,57,49,65
587,54,39,54,50,66,51
588,57,51,50,64,47,44
589,51,51,47,62,48,49
590,60,55,61,57,45,57
591,61,42,54,59,57,52
592,50,47,46,55,63,61
593,54,59,55,77,47,58
594,52,53,47,70,49,47
595,56,64,57,66,51,41
596,64,53,45,61,50,62
597,47,57,60,47,56,57
598,60,69,64,55,60,49
599,54,63,51,52,65,40
600,59,50,49,58,47,42
601,52,64,51,51,47,46
602,50,63,60,55,50,64
603,57,59,53,58,62,55
604,58,55,54,63,53,53
605,73,61,60,64,50,60
606,48,48,68,72,52,63
607,53,57,54,62,55,43
608,52,48,54,56,61,57
609,58,57,49,61,55,49
610,56,43,70,67,58,44
611,71,60,58,59,61,50
612,51,50,59,57,57,65
613,57,72,57,61,46,49
614,44,64,59,53,55,56
615,54,47,52,52,54,43
616,53,54,61,55,52,64
617,64,43,58,79,49,42
618,57,62,48,62,71,58
619,66,65,59,65,45,40
620,48,48,53,58,50,44
621,73,49,53,53,51,41
622,47,42,52,55,70,48
623,58,59,70,55,67,54
624,50,58,46,54,51,58
625,62,60,52,52,70,39
626,54,47,55,47,47,58
627,56,68,58,74,51,55
628,63,59,55,62,54,56
629,52,62,63,54,54,56
630,54,59,49,53,52,53
631,50,57,58,59,64,57
632,55,61,49,58,48,46
633,54,74,50,46,46,60
634,64,51,59,53,55,57
635,53,52,49,56,46,52
636,53,56,61,58,56,60
637,50,52,59,54,65,40
638,58,48,44,58,49,55
639,53,44,69,63,56,65
640,42,65,51,61,53,43
641,59,44,61,66,49,56
642,74,51,57,56,46,48
643,55,57,57,62,45,62
644,55,43,56,68,65,56
645,57,63,52,64,68,38
646,60,57,52,75,50,55
647,53,66,52,76,49,45
648,42,63,66,68,66,56
649,60,44,49,50,52,54
650,64,43,63,56,59,56
651,54,57,57,59,55,44
652,73,49,56,61,45,41
653,72,55,47,51,49,41
654,45,56,62,62,55,59
655,59,57,49,56,54,47
656,52,56,50,60,51,48
657,61,60,65,64,49,59
658,58,57,54,59,46,60
659,54,62,71,67,60,60
660,58,55,50,57,49,61
661,56,59,74,50,70,46
662,55,53,53,67,46,43
663,49,43,56,60,56,59
664,54,46,58,59,48,46
665,50,43,45,59,50,50
666,69,55,42,57,52,48
667,47,51,50,51,48,55
668,61,60,70,58,55,49
669,80,45,51,62,46,61
670,56,60,49,65,52,45
671,46,72,49,59,52,60
672,64,46,51,54,53,43
673,58,52,52,62,52,53
674,59,63,58,49,51,59
675,65,53,50,61,54,52
676,60,48,59,62,48,53
677,49,77,58,55,54,48
678,65,58,53,64,47,51
679,54,52,47,58,49,46
680,49,58,51,53,61,40
681,53,67,51,65,57,41
682,62,50,50,64,53,55
683,53,59,57,69,60,49
684,52,67,55,68,60,50
685,72,53,62,49,51,42
686,53,43,50,63,68,46
687,84,55,65,64,56,44
688,63,55,47,47,52,44
689,53,59,58,67,53,50
690,58,61,55,67,49,55
691,56,51,67,64,67,57
692,63,63,60,56,49,51
693,69,47,55,60,48,65
694,59,54,55,63,57,41
695,67,61,63,51,58,40
696,52,65,52,67,47,59
697,51,50,54,56,47,45
698,66,48,67,63,42,57
699,50,72,55,59,66,62
700,57,59,58,71,47,62
701,62,58,43,63,54,43
702,52,61,50,65,50,62
703,49,65,50,61,45,42
704,73,60,55,68,61,55
705,65,58,63,60,51,64
706,47,72,53,62,51,58
707,73,52,48,58,50,44
708,49,40,48,54,51,62
709,56,61,56,59,65,58
710,50,61,48,52,47,47
711,69,79,66,69,63,60
712,56,73,53,58,45,58
713,53,45,56,73,58,42
714,52,62,55,56,62,58
715,56,43,47,66,56,48
716,54,68,63,63,52,47
717,59,62,61,67,58,43
718,53,56,65,65,46,64
719,59,54,51,61,48,52
720,58,65,52,59,63,42
721,51,43,63,65,53,47
722,52,55,51,65,68,41
723,54,51,47,65,51,61
724,54,57,53,51,57,54
725,51,78,63,53,48,54
726,55,59,65,67,48,43
727,55,68,56,68,48,47
728,56,45,48,60,56,43
729,56,69,54,60,67,46
730,58,57,47,59,55,44
731,55,54,68,60,64,56
732,53,50,59,53,53,64
733,52,64,56,52,44,58
734,55,60,48,57,50,46
735,51,65,55,52,61,52
736,59,53,52,61,44,43
737,55,62,52,63,46,48
738,54,56,66,47,61,59
739,56,61,58,59,58,53
740,61,55,52,64,45,42
741,58,56,53,67,65,53
742,64,62,50,63,50,39
743,59,62,61,58,71,48
744,61,55,53,60,48,53
745,55,65,70,63,51,61
746,61,73,70,63,45,59
747,62,48,47,51,65,49
748,55,82,77,65,49,52
749,52,50,55,65,52,44
750,67,55,71,60,63,57
751,59,52,54,67,54,42
752,50,58,50,65,54,59
753,51,66,57,57,51,63
754,56,77,49,59,51,62
755,58,57,50,71,51,60
756,67,53,45,50,53,55
757,50,59,57,70,60,53
758,56,63,53,66,55,46
759,57,67,55,58,55,41
760,49,46,52,57,58,65
761,44,55,52,57,57,53
762,53,49,58,57,54,65
763,52,64,48,63,50,43
764,53,63,55,54,59,56
765,60,65,54,56,52,54
766,57,52,62,63,54,62
767,70,53,53,59,50,57
768,56,57,51,55,57,48
769,56,54,52,64,47,50
770,53,56,52,65,54,43
771,60,65,74,63,58,58
772,57,51,49,57,50,42
773,66,45,51,56,59,43
774,58,43,50,59,65,57
775,59,50,47,55,46,48
776,56,46,63,60,61,51
777,53,46,50,53,51,45
778,59,63,60,53,58,56
779,61,50,63,70,48,56
780,58,42,47,61,52,59
781,52,48,56,56,51,57
782,55,40,49,54,61,55
783,59,64,67,70,63,45
784,50,64,64,59,53,61
785,62,61,54,55,57,45
786,44,46,48,46,52,46
787,68,48,68,46,62,57
788,69,49,52,68,58,42
789,54,59,75,67,67,55
790,54,49,52,67,45,63
791,49,44,50,63,51,43
792,67,58,60,62,50,51
793,65,56,46,56,49,44
794,70,65,52,62,52,42
795,45,59,51,46,54,49
796,55,52,55,66,57,55
797,51,61,53,71,49,49
798,67,50,58,69,58,56
799,58,46,55,70,46,50
800,51,80,64,67,77,76
801,56,53,50,66,53,61
802,55,52,52,44,61,50
803,54,56,61,51,48,62
804,51,50,51,48,48,50
805,54,67,65,54,52,54
806,57,52,46,53,53,45
807,48,58,49,65,49,45
808,59,50,48,57,48,46
809,61,50,49,54,48,47
810,48,50,52,62,45,53
811,54,56,47,65,43,48
812,57,61,44,51,61,44
813,59,56,47,53,52,43
814,56,53,60,56,50,60
815,46,62,61,65,61,44
816,54,57,48,63,43,51
817,54,50,57,56,63,63
818,54,66,62,60,76,42
819,56,50,55,68,59,53
820,60,57,61,66,64,63
821,59,57,54,56,62,48
822,54,67,48,56,45,53
823,51,46,54,64,49,43
824,54,67,63,63,58,59
825,68,58,63,61,52,59
826,48,57,53,63,50,47
827,66,66,51,58,52,42
828,57,57,51,58,60,55
829,49,58,52,68,50,46
830,61,57,78,52,66,52
831,56,65,68,54,67,38
832,49,46,52,61,56,60
833,55,57,52,61,49,58
834,54,62,51,66,46,49
835,72,48,74,74,51,41
836,55,47,47,59,52,47
837,56,50,49,57,49,49
838,65,66,54,58,56,61
839,55,54,56,54,75,60
840,52,46,58,59,49,69
841,56,42,48,56,58,44
842,55,53,50,54,51,45
843,57,54,49,59,51,45
844,53,53,66,58,58,62
845,53,53,67,76,55,59
846,60,54,49,62,51,42
847,51,52,71,56,62,60
848,59,50,46,63,49,47
849,54,55,49,51,51,62
850,45,51,58,55,71,55
851,52,67,56,67,52,54
852,55,57,54,66,70,63
853,49,64,50,55,51,45
854,57,54,50,62,53,47
855,66,48,52,64,69,40
856,48,49,55,64,50,44
857,61,44,59,60,46,42
858,65,46,48,59,54,45
859,60,66,76,57,66,47
860,55,52,49,48,57,55
861,69,59,56,58,65,43
862,55,61,42,57,69,46
863,60,57,62,68,44,55
864,60,57,44,56,50,53
865,59,69,63,71,46,58
866,57,45,56,62,64,49
867,57,68,63,59,65,62
868,48,57,46,64,60,39
869,54,55,56,64,55,41
870,59,46,65,58,58,63
871,69,57,69,57,61,58
872,55,43,66,61,52,76
873,47,54,52,60,56,57
874,58,60,58,54,64,49
875,56,62,53,51,59,54
876,54,60,59,52,57,39
877,60,59,50,66,52,40
878,56,54,50,58,61,45
879,66,56,59,65,47,63
880,55,45,57,69,60,58
881,55,60,59,68,74,57
882,53,47,59,56,50,57
883,58,61,48,68,52,51
884,55,61,48,62,50,53
885,54,67,61,60,60,55
886,62,54,55,62,48,68
887,58,54,53,77,46,50
888,69,66,47,59,60,46
889,58,61,53,79,46,42
890,46,74,64,69,75,88
891,56,47,63,66,61,59
892,45,60,46,63,55,48
893,63,72,59,62,51,58
894,63,62,62,59,64,44
895,55,49,63,58,46,57
896,63,65,59,61,61,58
897,50,60,54,57,55,50
898,60,55,55,61,53,41
899,59,60,44,52,46,42
900,78,52,62,61,59,44
901,53,44,48,55,47,56
902,46,59,47,63,64,47
903,56,71,50,63,52,40
904,61,74,61,60,51,66
905,52,59,53,54,51,66
906,50,47,53,64,49,48
907,57,48,63,73,63,47
908,59,42,52,66,52,56
909,54,50,58,67,55,51
910,75,54,48,53,55,45
911,51,67,48,58,50,39
912,56,75,49,66,47,55
913,59,42,51,65,57,57
914,64,45,46,60,46,44
915,51,72,55,63,61,43
916,57,54,59,52,58,53
917,48,46,54,58,53,65
918,57,55,53,62,62,39
919,54,52,45,65,68,55
920,52,57,47,71,63,40
921,61,55,62,65,43,59
922,56,43,50,58,48,43
923,44,48,48,55,57,49
924,46,43,54,57,50,51
925,57,48,70,61,78,46
926,64,53,66,53,60,78
927,60,66,63,59,57,62
928,54,66,63,60,48,48
929,63,54,55,58,59,60
930,59,49,60,75,59,42
931,51,60,54,63,71,43
932,57,54,51,57,54,40
933,57,65,60,72,47,46
934,55,48,54,67,48,46
935,56,65,69,56,54,73
936,71,55,55,63,44,38
937,64,59,51,54,48,42
938,74,50,64,55,56,53
939,48,46,49,62,58,60
940,57,66,75,64,53,47
941,56,62,47,50,52,49
942,62,64,62,54,59,63
943,59,58,58,63,66,47
944,58,53,70,64,62,75
945,57,55,51,69,46,42
946,49,50,45,55,53,48
947,54,68,54,60,70,42
948,55,54,64,63,65,58
949,61,40,45,54,53,59
950,76,56,56,50,57,44
951,58,60,47,61,47,43
952,53,59,59,51,50,65
953,56,46,54,46,67,50
954,57,57,63,66,56,65
955,59,49,61,66,50,45
956,67,69,52,57,64,49
957,57,56,53,54,47,60
958,52,56,54,72,55,57
959,64,72,53,63,53,41
960,57,65,69,75,58,60
961,59,49,51,51,63,49
962,54,56,53,57,49,65
963,50,54,53,62,51,74
964,52,65,54,61,62,45
965,75,54,56,63,47,63
966,59,71,64,64,54,57
967,51,44,49,59,58,42
968,55,50,53,53,48,52
969,57,59,54,62,50,39
970,54,43,49,64,56,52
971,45,46,46,66,55,42
972,52,59,69,52,53,66
973,64,72,72,54,77,79
974,59,71,50,56,46,59
975,60,61,56,54,50,52
976,58,59,74,67,48,40
977,52,50,54,55,48,54
978,66,47,54,64,70,56
979,68,60,58,70,49,42
980,62,56,48,63,47,40
981,52,59,47,55,51,48
982,52,45,52,61,50,65
983,60,66,57,55,52,44
984,63,65,45,61,50,40
985,58,58,46,67,50,41
986,54,42,78,67,58,56
987,51,45,50,59,61,55
988,54,42,49,63,56,49
989,60,46,63,68,57,50
990,53,55,59,50,63,45
991,61,52,48,63,57,55
992,64,46,49,65,57,45
993,60,58,62,63,61,48
994,54,48,56,54,50,42
995,56,49,50,59,64,61
